0,2,d,I,m,0
2,4,d,V,D7,0
4,6,d,I,D7,0
6,29/4,d,IV,unknown,0
29/4,8,d,IV,m,0
8,10,d,IV,m,0
10,11,d,I,m,0
11,12,d,bII,M,0
12,13,d,I,m,0
13,14,d,II,D7,0
14,15,d,IV,m,0
15,16,d,V,D7,0
16,69/4,d,I,m,0
69/4,71/4,d,II,D7,0
71/4,18,d,V,D7,0
18,20,d,I,m,0
20,22,F,I,M,0
22,24,F,II,D7,0
24,26,F,V,D7,0
26,27,F,I,M,0
27,28,F,bVII,M,0
28,30,F,VI,D7,0
30,32,F,II,m,0
32,133/4,F,VII,M,0
133/4,34,F,VII,D7,0
34,36,F,III,D7,0
36,38,F,VI,M,0
38,39,F,VII,M,0
39,40,F,VII,D7,0
40,42,F,III,D7,0
42,44,F,VI,M,0
44,181/4,F,IV,M,0
181/4,46,F,IV,M,0
46,189/4,F,I,M,0
189/4,48,F,bIII,d,0
48,49,F,II,m,0
49,50,F,V,D7,0
50,51,F,I,M,0
51,103/2,F,V,M,0
103/2,52,F,I,M,0
52,213/4,Bb,I,M,0
213/4,54,Bb,#I,d,0
54,55,Bb,V,M,0
55,56,Bb,V,D7,0
56,229/4,Bb,I,M,0
229/4,58,Bb,#I,d,0
58,59,Bb,V,D7,0
59,60,Bb,V,D7,0
60,62,Bb,#I,d,0
62,64,Bb,II,D7,0
64,65,Bb,II,D7,0
65,66,Bb,II,D7,0
66,67,Bb,V,D7,0
67,68,Bb,V,D7,0
68,277/4,Bb,I,M,0
277/4,70,Bb,#I,d,0
70,285/4,Bb,II,m7,0
285/4,72,Bb,IV,d,0
72,293/4,Bb,III,D7,0
293/4,74,Bb,III,D7,0
74,301/4,Bb,VI,unknown,0
301/4,76,Bb,VI,m,0
76,78,Bb,IV,m,0
78,317/4,Bb,I,M,0
317/4,80,Bb,I,M,0
80,81,Bb,II,m,0
81,82,Bb,V,D7,0
82,84,Bb,I,M,0
84,86,d,I,m,0
86,87,d,#VII,d,0
87,88,d,V,D7,0
88,90,d,I,D7,0
90,91,d,IV,unknown,0
91,92,d,IV,m,0
92,94,d,VII,D7,0
